"","NU_ANO_CENSO","CO_IES","TP_CATEGORIA_ADMINISTRATIVA","TP_ORGANIZACAO_ACADEMICA","CO_LOCAL_OFERTA","CO_UF","CO_MUNICIPIO","IN_CAPITAL","CO_CURSO","NO_CURSO","TP_SITUACAO","CO_CINE_ROTULO","TP_GRAU_ACADEMICO","TP_MODALIDADE_ENSINO","TP_NIVEL_ACADEMICO","IN_GRATUITO","TP_ATRIBUTO_INGRESSO","NU_CARGA_HORARIA","DT_INICIO_FUNCIONAMENTO","DT_AUTORIZACAO_CURSO","IN_AJUDA_DEFICIENTE","IN_MATERIAL_DIGITAL","IN_MATERIAL_AMPLIADO","IN_MATERIAL_TATIL","IN_MATERIAL_IMPRESSO","IN_MATERIAL_AUDIO","IN_MATERIAL_BRAILLE","IN_MATERIAL_LIBRAS","IN_DISCIPLINA_LIBRAS","IN_TRADUTOR_LIBRAS","IN_GUIA_INTERPRETE","IN_RECURSOS_COMUNICACAO","IN_RECURSOS_INFORMATICA","IN_INTEGRAL","IN_MATUTINO","IN_VESPERTINO","IN_NOTURNO","NU_INTEGRALIZACAO_INTEGRAL","NU_INTEGRALIZACAO_MATUTINO","NU_INTEGRALIZACAO_VESPERTINO","NU_INTEGRALIZACAO_NOTURNO","NU_INTEGRALIZACAO_EAD","IN_OFERECE_DISC_SEMI_PRES","NU_PERC_CARGA_SEMI_PRES","IN_POSSUI_LABORATORIO","QT_INSC_VAGA_NOVA_INTEGRAL","QT_INSC_VAGA_NOVA_MATUTINO","QT_INSC_VAGA_NOVA_VESPERTINO","QT_INSC_VAGA_NOVA_NOTURNO","QT_INSC_VAGA_NOVA_EAD","QT_INSC_VAGA_REMAN_INTEGRAL","QT_INSC_VAGA_REMAN_MATUTINO","QT_INSC_VAGA_REMAN_VESPERTINO","QT_INSC_VAGA_REMAN_NOTURNO","QT_INSC_VAGA_REMAN_EAD","QT_INSC_PROG_ESP_INTEGRAL","QT_INSC_PROG_ESP_MATUTINO","QT_INSC_PROG_ESP_VESPERTINO","QT_INSC_PROG_ESP_NOTURNO","QT_INSC_PROG_ESP_EAD","QT_INSC_PRINCIPAL_INTEGRAL","QT_INSC_PRINCIPAL_MATUTINO","QT_INSC_PRINCIPAL_VESPERTINO","QT_INSC_PRINCIPAL_NOTURNO","QT_INSC_PRINCIPAL_EAD","QT_INSC_OUTRA_VAGA_INTEGRAL","QT_INSC_OUTRA_VAGA_MATUTINO","QT_INSC_OUTRA_VAGA_VESPERTINO","QT_INSC_OUTRA_VAGA_NOTURNO","QT_INSC_OUTRA_VAGA_EAD","QT_INSC_ANUAL_INTEGRAL","QT_INSC_ANUAL_MATUTINO","QT_INSC_ANUAL_VESPERTINO","QT_INSC_ANUAL_NOTURNO","QT_INSC_ANUAL_EAD","QT_VAGAS_NOVAS_INTEGRAL","QT_VAGAS_NOVAS_MATUTINO","QT_VAGAS_NOVAS_VESPERTINO","QT_VAGAS_NOVAS_NOTURNO","QT_VAGAS_NOVAS_EAD","QT_VAGAS_REMAN_INTEGRAL","QT_VAGAS_REMAN_MATUTINO","QT_VAGAS_REMAN_VESPERTINO","QT_VAGAS_REMAN_NOTURNO","QT_VAGAS_REMAN_EAD","QT_VAGAS_PROG_ESP_INTEGRAL","QT_VAGAS_PROG_ESP_MATUTINO","QT_VAGAS_PROG_ESP_VESPERTINO","QT_VAGAS_PROG_ESP_NOTURNO","QT_VAGAS_PROG_ESP_EAD","QT_VAGAS_PRINCIPAL_INTEGRAL","QT_VAGAS_PRINCIPAL_MATUTINO","QT_VAGAS_PRINCIPAL_VESPERTINO","QT_VAGAS_PRINCIPAL_NOTURNO","QT_VAGAS_PRINCIPAL_EAD","QT_VAGAS_OUTRAS_INTEGRAL","QT_VAGAS_OUTRAS_MATUTINO","QT_VAGAS_OUTRAS_VESPERTINO","QT_VAGAS_OUTRAS_NOTURNO","QT_VAGAS_OUTRAS_EAD","QT_VAGAS_ANUAL_INTEGRAL","QT_VAGAS_ANUAL_MATUTINO","QT_VAGAS_ANUAL_VESPERTINO","QT_VAGAS_ANUAL_NOTURNO","QT_VAGAS_ANUAL_EAD","QT_MATRICULA_TOTAL","QT_CONCLUINTE_TOTAL","QT_INGRESSO_TOTAL","QT_INGRESSO_VAGA_NOVA","QT_INGRESSO_PROCESSO_SELETIVO","QT_VAGA_TOTAL","QT_INSCRITO_TOTAL"
"1",2018,693,1,1,1233,33,3304557,1,15778,"TEATRO",1,"0114T01",2,1,1,1,0,2990,"01/01/1985",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,4,NA,NA,NA,NA,0,NA,1,30,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156,10,27,27,NA,30,30
"2",2018,693,1,1,138195,33,3304557,1,15779,"ARQUIVOLOGIA",1,"0322A01",1,1,1,1,0,2400,"09/12/1911",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,NA,NA,NA,4,NA,0,NA,0,NA,NA,NA,1634,NA,NA,NA,NA,27,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,30,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,248,34,76,65,NA,110,1661
"3",2018,693,1,1,138195,33,3304557,1,15780,"BIBLIOTECONOMIA",1,"0322B01",1,1,1,1,0,3095,"01/01/1910",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,4,NA,NA,NA,0,NA,0,NA,1346,NA,NA,NA,NA,5,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,30,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,321,43,98,93,NA,133,1351
"4",2018,693,1,1,138195,33,3304557,1,15781,"MUSEOLOGIA",1,"0322M01",1,1,1,1,0,2940,"01/01/1931",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,4,NA,NA,NA,NA,0,NA,0,979,NA,NA,NA,NA,5,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,30,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,308,38,98,93,NA,133,984
"5",2018,693,1,1,1059515,33,3304557,1,15782,"ENFERMAGEM",1,"0913E01",1,1,1,1,0,4065,"27/09/1890",NA,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5,NA,NA,NA,NA,0,NA,1,6358,NA,NA,NA,NA,35,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,NA,NA,NA,NA,28,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,446,51,122,117,NA,151,6394
"6",2018,693,1,1,1038192,33,3304557,1,15783,"MEDICINA",1,"0912M01",1,1,1,1,0,8145,"10/04/1912",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,6,NA,NA,NA,NA,0,NA,1,7803,NA,NA,NA,NA,292,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160,NA,NA,NA,NA,21,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,963,145,180,158,NA,183,8103
"7",2018,693,1,1,138189,33,3304557,1,15784,"NUTRIÇÃO",1,"0915N01",1,1,1,1,0,4115,"30/04/1943",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,5,NA,NA,NA,NA,0,NA,1,4222,NA,NA,NA,NA,15,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114,NA,NA,NA,NA,23,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,425,38,114,110,NA,140,4241
"8",2018,693,1,1,138195,33,3304557,1,15785,"PEDAGOGIA",1,"0113P01",2,1,1,1,0,3355,"24/03/1987",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,NA,NA,NA,4.5,NA,0,NA,0,NA,NA,NA,2198,NA,NA,NA,NA,15,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,30,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300,22,106,100,NA,130,2213
"9",2018,693,1,1,138195,33,3304557,1,15786,"CIÊNCIAS BIOLÓGICAS",1,"0511B01",1,1,1,1,0,3200,"01/01/1976",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,4,NA,NA,NA,NA,0,NA,0,652,NA,NA,NA,NA,10,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,32,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,221,21,63,57,NA,105,662
"10",2018,693,1,1,138189,33,3304557,1,15788,"DIREITO",1,"0421D01",1,1,1,1,0,4095,"02/05/1991",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,NA,NA,NA,5,NA,0,NA,0,NA,NA,NA,144,NA,NA,NA,NA,185,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142,NA,NA,NA,NA,30,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,572,85,158,138,NA,172,329
