NU_ANO_CENSO,CO_IES,TP_CATEGORIA_ADMINISTRATIVA,TP_ORGANIZACAO_ACADEMICA,CO_DOCENTE_IES,ID_DOCENTE,TP_SITUACAO,TP_ESCOLARIDADE,TP_REGIME_TRABALHO,TP_SEXO,NU_ANO_NASCIMENTO,NU_MES_NASCIMENTO,NU_DIA_NASCIMENTO,NU_IDADE,TP_COR_RACA,CO_PAIS_ORIGEM,TP_NACIONALIDADE,CO_UF_NASCIMENTO,CO_MUNICIPIO_NASCIMENTO,IN_DEFICIENCIA,IN_DEFICIENCIA_CEGUEIRA,IN_DEFICIENCIA_BAIXA_VISAO,IN_DEFICIENCIA_SURDEZ,IN_DEFICIENCIA_AUDITIVA,IN_DEFICIENCIA_FISICA,IN_DEFICIENCIA_SURDOCEGUEIRA,IN_DEFICIENCIA_MULTIPLA,IN_DEFICIENCIA_INTELECTUAL,IN_ATUACAO_EAD,IN_ATUACAO_EXTENSAO,IN_ATUACAO_GESTAO,IN_ATUACAO_GRAD_PRESENCIAL,IN_ATUACAO_POS_EAD,IN_ATUACAO_POS_PRESENCIAL,IN_ATUACAO_SEQUENCIAL,IN_ATUACAO_PESQUISA,IN_BOLSA_PESQUISA,IN_SUBSTITUTO,IN_EXERCICIO_DATA_REFERENCIA,IN_VISITANTE,TP_VISITANTE_IFES_VINCULO
2018,693,1,1,560678,E6A46EED13FF69E67F6E3FEE398B16A1,1,5,2,2,1954,11,7,64,0,76,1,33,3304557,0,,,,,,,,,0,1,0,1,0,0,0,1,1,0,1,0,
2018,693,1,1,560674,4203967EFE792D021B2CAFA627F1024B,1,4,2,2,1976,3,18,42,1,76,1,33,3304557,0,,,,,,,,,0,0,0,1,0,0,0,0,,0,1,0,
2018,693,1,1,560675,86BB0287F25DDC531D30BAEAE8EDDB82,1,5,1,2,1959,7,24,59,0,76,1,33,3304557,0,,,,,,,,,0,0,1,1,0,1,0,1,1,0,1,0,
2018,693,1,1,560676,CC186A1ECC7F3C195578797343F2EDB8,1,5,2,2,1948,7,5,70,0,76,1,33,3304557,0,,,,,,,,,0,1,0,1,0,1,0,1,1,0,1,0,
2018,693,1,1,560672,E371067A3E061EFF9454902209290F43,1,5,2,2,1960,9,25,58,0,76,1,33,3304557,0,,,,,,,,,0,0,1,1,0,0,0,1,0,0,1,0,
2018,693,1,1,560670,1E88058A48F6ACAB310F004533760065,1,5,1,2,1969,1,10,49,0,76,1,33,3304557,0,,,,,,,,,0,1,1,1,0,0,0,1,1,0,1,0,
2018,693,1,1,560671,86F05B49325E5B730985DC76EE8DE90C,1,5,1,1,1957,12,30,61,0,76,1,33,3304557,0,,,,,,,,,0,1,0,1,0,1,0,1,0,0,1,0,
2018,693,1,1,560669,C142C860F32E792DAB5EC3B9A8BEA22E,1,3,2,2,1956,7,12,62,1,76,1,33,3304557,0,,,,,,,,,0,0,0,1,0,0,0,0,,0,1,0,
2018,693,1,1,679894,0F51D58537176738F6E1B6A7E59883E9,1,2,1,2,1946,8,2,72,0,76,1,33,3304557,0,,,,,,,,,0,1,0,1,0,0,0,0,,0,1,0,
2018,693,1,1,560665,FFEF6FAC0D90AB1807C64A5BD56F209B,1,5,1,2,1956,4,10,62,0,76,1,33,3304557,0,,,,,,,,,0,0,0,1,0,1,0,1,0,0,1,0,
